alg time sample
Compara 205 11053
Compara 90 12487
Compara 81 19285
Compara 87 9103
Compara 89 142
Compara 83 1717
Compara 56 30720
Compara 58 11112
Compara 64 5996
Compara 56 6396
Compara 58 26786
Compara 63 13385
Compara 61 21392
Compara 56 21187
Compara 56 15760
Compara 56 10227
Compara 57 16954
Compara 57 9944
Compara 56 28138
Compara 57 31078
Compara 56 7098
Compara 83 18195
Compara 86 18585
Compara 86 22578
Compara 86 17102
Compara 87 26252
Compara 87 2311
Compara 84 19581
Compara 82 23999
Compara 88 29308
Compara 86 31649
Compara 83 2003
Compara 82 25914
Compara 62 28148
Compara 57 28174
Compara 56 30384
Compara 57 17647
Compara 56 23616
Compara 56 26412
Compara 56 24271
Compara 56 27115
Compara 57 26136
Compara 56 25295
Compara 56 5681
Compara 57 23222
Compara 56 9612
Compara 56 3384
Compara 56 7916
Compara 56 13612
Compara 56 17581
Compara 56 14935
Compara 56 13240
Compara 56 11804
Compara 56 23292
Compara 56 5313
Compara 56 4411
Compara 56 28322
Compara 56 13716
Compara 56 16495
Compara 56 2064
Compara 62 27461
Compara 56 30230
Compara 39 27964
Compara 24 9113
Compara 24 4303
Compara 24 13400
Compara 24 5405
Compara 25 29065
Compara 28 25328
Compara 27 3789
Compara 25 25118
Compara 25 13872
Compara 27 26769
Compara 27 21938
Compara 24 30752
Compara 24 6533
Compara 24 505
Compara 25 15614
Compara 24 7764
Compara 25 6389
Compara 25 1186
Compara 24 16647
Compara 27 1142
Compara 26 18926
Compara 28 14553
Compara 25 10740
Compara 24 8138
Compara 24 14634
Compara 25 5400
Compara 25 23014
Compara 25 23511
Compara 24 29372
Compara 25 21283
Compara 24 20965
Compara 24 6886
Compara 25 32475
Compara 24 15077
Compara 24 6540
Compara 24 16953
Compara 24 24434
IndexOf 53650 11053
IndexOf 51184 12487
IndexOf 77362 19285
IndexOf 36358 9103
IndexOf 614 142
IndexOf 7024 1717
IndexOf 124784 30720
IndexOf 45023 11112
IndexOf 24322 5996
IndexOf 26074 6396
IndexOf 108264 26786
IndexOf 52942 13385
IndexOf 86453 21392
IndexOf 84567 21187
IndexOf 62855 15760
IndexOf 42909 10227
IndexOf 70502 16954
IndexOf 39525 9944
IndexOf 111900 28138
IndexOf 126943 31078
IndexOf 29481 7098
IndexOf 74717 18195
IndexOf 75407 18585
IndexOf 90986 22578
IndexOf 68732 17102
IndexOf 104382 26252
IndexOf 9140 2311
IndexOf 78330 19581
IndexOf 99713 23999
IndexOf 121452 29308
IndexOf 130321 31649
IndexOf 8343 2003
IndexOf 109969 25914
IndexOf 121688 28148
IndexOf 117822 28174
IndexOf 132467 30384
IndexOf 73896 17647
IndexOf 99087 23616
IndexOf 116069 26412
IndexOf 99917 24271
IndexOf 112820 27115
IndexOf 106998 26136
IndexOf 104515 25295
IndexOf 23211 5681
IndexOf 94298 23222
IndexOf 37427 9612
IndexOf 15211 3384
IndexOf 31455 7916
IndexOf 53629 13612
IndexOf 74119 17581
IndexOf 61162 14935
IndexOf 52560 13240
IndexOf 48359 11804
IndexOf 133090 23292
IndexOf 22459 5313
IndexOf 19260 4411
IndexOf 123862 28322
IndexOf 54941 13716
IndexOf 69241 16495
IndexOf 8618 2064
IndexOf 111143 27461
IndexOf 122453 30230
IndexOf 113736 27964
IndexOf 36476 9113
IndexOf 17365 4303
IndexOf 53681 13400
IndexOf 21772 5405
IndexOf 119929 29065
IndexOf 100477 25328
IndexOf 15143 3789
IndexOf 100104 25118
IndexOf 54821 13872
IndexOf 106349 26769
IndexOf 86709 21938
IndexOf 121782 30752
IndexOf 26438 6533
IndexOf 2076 505
IndexOf 61178 15614
IndexOf 30465 7764
IndexOf 24894 6389
IndexOf 4711 1186
IndexOf 66236 16647
IndexOf 4390 1142
IndexOf 74990 18926
IndexOf 57430 14553
IndexOf 43121 10740
IndexOf 32117 8138
IndexOf 57334 14634
IndexOf 20419 5400
IndexOf 92154 23014
IndexOf 93319 23511
IndexOf 115304 29372
IndexOf 83822 21283
IndexOf 82227 20965
IndexOf 25924 6886
IndexOf 131146 32475
IndexOf 59966 15077
IndexOf 25686 6540
IndexOf 68777 16953
IndexOf 102042 24434
