alg time sample
BuscaLinear 6681 1
BuscaLinear 573620 1001
BuscaLinear 930560 2001
BuscaLinear 854691 3001
BuscaLinear 1200760 4001
BuscaLinear 942666 5001
BuscaLinear 1198184 6001
BuscaLinear 776442 7001
BuscaLinear 1080826 8001
BuscaLinear 1378290 9001
BuscaQuadrada 1085 1
BuscaQuadrada 7618542 1001
BuscaQuadrada 15197698 2001
BuscaQuadrada 39128762 3001
BuscaQuadrada 79025092 4001
BuscaQuadrada 83367351 5001
BuscaQuadrada 104335772 6001
BuscaQuadrada 141065737 7001
BuscaQuadrada 194211054 8001
BuscaQuadrada 238543608 9001
